"timestamp","rrqm/s","%util","wkB/s","avgrq-sz","svctm","rkB/s","wrqm/s","r/s","await","r_await","w/s","avgqu-sz","w_await"
"1579135241000","0.00","7.45","2731.20","48.38","0.66","0.00","490.60","0.00","1.83","0.00","112.90","0.21","1.83"
"1579135251000","0.00","3.70","1720.40","65.66","0.71","0.00","338.50","0.00","2.15","0.00","52.40","0.11","2.15"
"1579135261000","0.00","8.70","3071.60","46.12","0.65","0.00","552.60","0.00","1.91","0.00","133.20","0.25","1.91"
"1579135271000","0.00","12.71","4498.00","29.61","0.42","0.00","718.70","0.00","12.39","0.00","303.80","3.76","12.39"
"1579135281000","0.00","5.15","1807.60","57.20","0.81","0.00","360.40","0.00","1.97","0.00","63.20","0.12","1.97"
"1579135291000","0.00","8.38","2984.00","51.54","0.72","0.00","533.70","0.00","1.95","0.00","115.80","0.23","1.95"
"1579135301000","0.00","7.28","3247.20","26.88","0.30","0.00","519.50","0.00","5.09","0.00","241.60","1.23","5.09"
"1579135311000","0.00","9.22","2349.20","50.85","1.00","0.00","433.00","0.00","2.39","0.00","92.40","0.22","2.39"
"1579135321000","0.00","38.24","2665.20","54.01","3.87","0.00","490.30","0.00","9.53","0.00","98.70","0.94","9.53"
"1579135331000","0.00","8.50","3415.20","28.33","0.35","0.00","560.30","0.00","18.85","0.00","241.10","4.54","18.85"
